headline_text,category
BRIEF-Altiplano announces joint venture with Comet to explore high-grade Cu-Au projects in Chile,6
BRIEF-CLS - rights issue of about SEK 23.8 mln,3
BRIEF-Shandong Delisi Food reprimanded by exchange on information disclosure issues,3
BRIEF-HI-LIGHT TEK sells Xiamen-based unit for 16.7 mln yuan,3
FTSE at record,3
BRIEF-Medtecs International Corporation announces sale of properties in Philippines by group,5
CANADA STOCKS-TSX rises,3
BNP Paribas goes head to head with Credit Agricole,3
BRIEF-Advance Synergy says fire incident occurred at Holiday Villa Arosa,4
BRIEF-G bits Network Technology Xiamen's shares to debut trade on Jan 4,3
PRECIOUS-Gold edges up despite firm dollar,3
UPDATE 1-Romania's leftist Social Democrats name ministers in new government,4
BRIEF-Comtec Solar Systems Group updates on proposed disposal of target assets of Comtec Malaysia,6
BRIEF-Philweb Corp sold its investment in Acentic GMBH to Niantic Holding GMBH,3
UPDATE 2-Gunman in Istanbul nightclub attack may have trained in Syria,4
BRIEF-CIFI Holdings updates on facility agreement with specific performance covenants,3
BRIEF-Phase Holographic - Japan's medical institute purchases multiple HoloMonitor instruments,5
BRIEF-Velpic to Deliver Learning Management System to Government Customer,3
Gambia electoral commissioner flees country after threats,4
BRIEF-Jiashili Group says Lee Ping Nam resigns as executive director,3
BRIEF-Jiangsu King's Luck sees 2016 profit up 5-15 pct on high-end liquor sales,3
Nadal beats Dolgopolov on return to action in Brisbane,1
3i seeks buyers for lingerie chain Agent Provocateur -sources,4
BRIEF-Sinosoft Technology clarifies on second Zhongkui report,6
Nigerian naira flat on official and black markets,4
BRIEF-Aboitiz Power says Aboitiz Renewables signs MOU with BDO Unibank And San Carlos Sun Power,3
ECB's bond-buying programme hits 1.5 trillion euros,3
PRESS DIGEST- Financial Times - Jan 3,3
BRIEF-Baolihua Meida Nylon's shares to halt trade in Shenzhen,3
BRIEF-RCN Intressenter II initiates compulsory acquisition of Nordic Camping & Resort,3
US STOCKS-Wall St opens 2017 with big gains as banks surge,3
BRIEF-Eco Bio Holdings signs contract worth 5.14 bln won,6
BRIEF-Murray River says China sales for FY17 to be below 2 pct of total sales,3
U.S. construction spending hits 10-1/2-year high,0
UPDATE 3-German inflation soars close to ECB target,3
Soccer-Chelsea's Conte spoilt for choice ahead of Spurs clash,1
UPDATE 1-Marathon Petroleum explores Speedway spin amid Elliott pressure,3
BRIEF-Blackwall says Blackwall Property Trust enters into agreement to purchase office building in Hobart CBD,3
BRIEF-CBOE Holdings Inc files for potential debt shelf offering,3
Marathon Petroleum explores Speedway spin amid Elliott pressure,3
German inflation soars close to ECB target,3
BRIEF-G. Willi-Food extends distribution arrangement with Arla Foods,3
Taiwan objects to deportation of telecom fraud suspects from Vietnam to China,4
BRIEF-Icahn Enterprises announces increase in tender offer price for Federal-Mogul Holdings,3
Hanks,2
PRECIOUS-Platinum and palladium jump as investors gear up for 2017,3
Germany charges man with role in Islamic State executions in Syria,4
BRIEF-Beibu Gulf Tourism appoints president,3
TREASURIES-Yields rise after strong U.S. manufacturing data,3
CANADA STOCKS-TSX jumps to 20-month high as oil rallies,3
Fitch Assigns 'BBB' IDR to Smithfield Foods,3
BRIEF-Schnigge Wertpapierhandelsbank informs about a loss in the volume of half of share capital,3
Denmark's FX reserves rise to 451.6 bln crowns by end-December,3
BRIEF-Sunrise International Development to issue 11.5 mln new shares for working capital replenish,3
BRIEF-Zhongtian Urban Development signs agreement on Guiyang project,6
CANADA FX DEBT-C$ edges lower as greenback notches strong gains,3
China December factory activity rises to near four-year high - Caixin PMI,3
Icahn sweetens offer for Federal-Mogul for third time,3
BRIEF-Charlesbank Capital Partners sells Peacock Foods to Greencore,3
Australia shares rise to 17-month high in strong start to 2017,3
BRIEF-Asure Software acquires Corporate Payroll Inc,6
Living in the smog of China,4
BRIEF-J.B. Hunt Transport Services announces arbitration proceedings,3
BRIEF-Guangdong Baolihua gets regulatory approval to set up private bank,3
Dollar index hits highest since 2002 after strong U.S. manufacturing data,3
UPDATE 3-Peru demands cash from Odebrecht ahead of plea deal talks,3
BRIEF-HTM International to issue 1st series secured convertible corporation bonds worth T$120 mln,3
BRIEF-Revlon says expects to eliminate about 350 positions worldwide - SEC filing,3
Twitter's China chief quits,4
Peru demands cash from Odebrecht ahead of plea deal talks,3
CORRECTED-FOREX-Dollar resumes its ascent,3
